pfs_visit_id,arm,sps_module_id,pfs_design_id,time_exp_start
84468,r,1,3940907130413629120,2022-12-31 19:01:21.926519
84468,b,1,3940907130413629120,2022-12-31 19:01:21.926519
84469,r,1,3940907130413629120,2022-12-31 19:22:18.308851
84469,b,1,3940907130413629120,2022-12-31 19:22:18.308851
84470,r,1,3940907130413629120,2022-12-31 19:43:14.711117
84470,b,1,3940907130413629120,2022-12-31 19:43:14.711117
84471,r,1,3940907130413629120,2022-12-31 20:04:11.142565
84471,b,1,3940907130413629120,2022-12-31 20:04:11.142565
84472,r,1,3940907130413629120,2022-12-31 20:25:07.816271
84472,b,1,3940907130413629120,2022-12-31 20:25:07.816271
84473,r,1,3940907130413629120,2022-12-31 20:46:04.060892
84473,b,1,3940907130413629120,2022-12-31 20:46:04.060892
84474,r,1,3940907130413629120,2022-12-31 21:07:00.366724
84474,b,1,3940907130413629120,2022-12-31 21:07:00.366724
84475,r,1,3940907130413629120,2022-12-31 21:27:56.832156
84475,b,1,3940907130413629120,2022-12-31 21:27:56.832156
84476,r,1,3940907130413629120,2022-12-31 21:48:53.137296
84476,b,1,3940907130413629120,2022-12-31 21:48:53.137296
84477,r,1,3940907130413629120,2022-12-31 22:09:49.554263
84477,b,1,3940907130413629120,2022-12-31 22:09:49.554263
84478,r,1,3940907130413629120,2022-12-31 22:30:45.923948
84478,b,1,3940907130413629120,2022-12-31 22:30:45.923948
84479,r,1,3940907130413629120,2022-12-31 22:51:42.429124
84479,b,1,3940907130413629120,2022-12-31 22:51:42.429124
84480,r,1,3940907130413629120,2022-12-31 23:12:38.716169
84480,b,1,3940907130413629120,2022-12-31 23:12:38.716169
84481,r,1,3940907130413629120,2022-12-31 23:33:35.09772
84481,b,1,3940907130413629120,2022-12-31 23:33:35.09772
84482,r,1,3940907130413629120,2022-12-31 23:54:31.655808
84482,b,1,3940907130413629120,2022-12-31 23:54:31.655808
84483,r,1,3940907130413629120,2023-01-01 00:15:28.264595
84483,b,1,3940907130413629120,2023-01-01 00:15:28.264595
84484,r,1,3940907130413629120,2023-01-01 00:36:24.786885
